Time,"User full name","Affected user","Event context",Component,"Event name",Description,Origin,"IP address"
"30/10/23, 12:44:29","Admin Lms",-,"Course: 파이썬 기초",System,"Course section created","The user with id '2' created section number '4' for the course with id '2'",web,0:0:0:0:0:0:0:1
"30/10/23, 12:44:29","Admin Lms",-,"Course: 파이썬 기초",System,"Course section created","The user with id '2' created section number '3' for the course with id '2'",web,0:0:0:0:0:0:0:1
"30/10/23, 12:44:29","Admin Lms",-,"Course: 파이썬 기초",System,"Course section created","The user with id '2' created section number '2' for the course with id '2'",web,0:0:0:0:0:0:0:1
"30/10/23, 12:44:29","Admin Lms",-,"Course: 파이썬 기초",System,"Course section created","The user with id '2' created section number '1' for the course with id '2'",web,0:0:0:0:0:0:0:1
"30/10/23, 12:44:29","Admin Lms",-,"Course: 파이썬 기초",System,"Course section created","The user with id '2' created section number '0' for the course with id '2'",web,0:0:0:0:0:0:0:1
"30/10/23, 12:44:29","Admin Lms",-,"Course: 파이썬 기초",System,"Course created","The user with id '2' created the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:41:32","Admin Lms",-,"Site home",System,"Course viewed","The user with id '2' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:41:14","Admin Lms",-,"Category: 인공지능융복합",System,"Category created","The user with id '2' created the course category with id '6'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:40:53","Admin Lms",-,"Category: 4차산업혁명특별강좌",System,"Category created","The user with id '2' created the course category with id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:40:09","Admin Lms",-,"Category: 전공선택",System,"Category created","The user with id '2' created the course category with id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:39:42","Admin Lms",-,Other,System,"Category deleted","The user with id '2' deleted the course category with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:39:36","Admin Lms",-,Other,System,"Category created","The user with id '2' created the course category with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:39:26","Admin Lms",-,"Category: 전공필수",System,"Category created","The user with id '2' created the course category with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:37:19","Admin Lms",-,"Site home",System,"Course viewed","The user with id '2' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:37:16","Admin Lms",-,System,System,"My courses viewed","The user with id '2' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 12:36:47","Admin Lms",-,System,"User tours","Tour ended","The user with id '2' has ended the tour with id '3' at step index '0' (id '5') on the page with URL 'http://localhost/my/courses.php'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:36:44","Admin Lms",-,System,"User tours","Tour started","The user with id '2' has started the tour with id '3' on the page with URL 'http://localhost/my/courses.php'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:36:44","Admin Lms",-,System,System,"My courses viewed","The user with id '2' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 12:36:34","Admin Lms","Admin Lms","User: Admin Lms",System,"Dashboard viewed","The user with id '2' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"30/10/23, 12:36:09","Admin Lms",-,"Site home",System,"Course viewed","The user with id '2' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:34:52","Admin Lms","Admin Lms","User: Admin Lms","User tours","Tour ended","The user with id '2' has ended the tour with id '4' at step index '0' (id '6') on the page with URL 'http://localhost/my/'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:34:48","Admin Lms","Admin Lms","User: Admin Lms","User tours","Tour started","The user with id '2' has started the tour with id '4' on the page with URL 'http://localhost/my/'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:34:48","Admin Lms","Admin Lms","User: Admin Lms",System,"Dashboard viewed","The user with id '2' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"30/10/23, 12:34:46","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'noreplyaddress' for component 'core' from 'Not set' to 'gara@gara.com'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:34:46","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'supportemail' for component 'core' from 'Not set' to 'gara@gara.com'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:34:19","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'registerauth' for component 'core' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:34:19","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'timezone' for component 'core' from 'Not set' to 'Australia/Perth'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:33","Admin Lms","Admin Lms","User: Admin Lms",System,"User updated","The user with id '2' updated the profile for the user with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:32","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'defaultmoodlenet' for component 'tool_moodlenet' from 'Not set' to 'https://moodle.net'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:32","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'defaultmoodlenetname' for component 'tool_moodlenet' from 'Not set' to 'MoodleNet Central'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:32","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'enablemobilewebservice' for component 'core' from 'Not set' to '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'customlangstrings' for component 'tool_mobile' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'filetypeexclusionlist' for component 'tool_mobile' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'custommenuitems' for component 'tool_mobile' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'disabledfeatures' for component 'tool_mobile' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'forcelogout' for component 'tool_mobile' from 'Not set' to '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'setuplink' for component 'tool_mobile' from 'Not set' to 'https://download.moodle.org/mobile'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'androidappid' for component 'tool_mobile' from 'Not set' to 'com.moodle.moodlemobile'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'iosappid' for component 'tool_mobile' from 'Not set' to '633359593'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'enablesmartappbanners' for component 'tool_mobile' from 'Not set' to '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'mobilecssurl' for component 'core' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'autologinmintimebetweenreq' for component 'tool_mobile' from 'Not set' to '360'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'minimumversion' for component 'tool_mobile' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'forcedurlscheme' for component 'tool_mobile' from 'Not set' to 'moodlemobile'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'qrsameipcheck' for component 'tool_mobile' from 'Not set' to '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'qrkeyttl' for component 'tool_mobile' from 'Not set' to '600'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'qrcodetype' for component 'tool_mobile' from 'Not set' to '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'typeoflogin' for component 'tool_mobile' from 'Not set' to '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'apppolicy' for component 'tool_mobile' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'messageinbound_hostpass' for component 'core' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'messageinbound_hostuser' for component 'core' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'messageinbound_hostssl' for component 'core' from 'Not set' to 'ssl'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'messageinbound_host' for component 'core' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'messageinbound_domain' for component 'core' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'messageinbound_mailbox' for component 'core' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'messageinbound_enabled' for component 'core' from 'Not set' to '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'defaultfrontpageroleid' for component 'core' from 'Not set' to '8'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'commentsperpage' for component 'core' from 'Not set' to '15'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'frontpagecourselimit' for component 'core' from 'Not set' to '200'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'maxcategorydepth' for component 'core' from 'Not set' to '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'frontpageloggedin' for component 'core' from 'Not set' to '6'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'frontpage' for component 'core' from 'Not set' to '6'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'coursecontact' for component 'core' from 'Not set' to '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'profileroles' for component 'core' from 'Not set' to '5,4,3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'spelllanguagelist' for component 'tinymce_spellchecker' from 'Not set' to '+English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'spellengine' for component 'tinymce_spellchecker' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'requireemoticon' for component 'tinymce_moodleemoticon' from 'Not set' to '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'customconfig' for component 'editor_tinymce' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'fontselectlist' for component 'editor_tinymce' from 'Not set' to 'Trebuchet=Trebuchet MS,Verdana,Arial,Helvetica,sans-serif;Arial=arial,helvetica,sans-serif;Courier New=courier new,courier,monospace;Georgia=georgia,times new roman,times,serif;Tahoma=tahoma,arial,helvetica,sans-serif;Times New Roman=times new roman,times,serif;Verdana=verdana,arial,helvetica,sans-serif;Impact=impact;Wingdings=wingdings'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'customtoolbar' for component 'editor_tinymce' from 'Not set' to 'wrap,formatselect,wrap,bold,italic,wrap,bullist,numlist,wrap,link,unlink,wrap,image      undo,redo,wrap,underline,strikethrough,sub,sup,wrap,justifyleft,justifycenter,justifyright,wrap,outdent,indent,wrap,forecolor,backcolor,wrap,ltr,rtl      fontselect,fontsizeselect,wrap,code,search,replace,wrap,nonbreaking,charmap,table,wrap,cleanup,removeformat,pastetext,pasteword,wrap,fullscreen'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'branding' for component 'editor_tiny' from 'Not set' to '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'videotimelimit' for component 'tiny_recordrtc' from 'Not set' to '120'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'audiotimelimit' for component 'tiny_recordrtc' from 'Not set' to '120'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'videobitrate' for component 'tiny_recordrtc' from 'Not set' to '2500000'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'audiobitrate' for component 'tiny_recordrtc' from 'Not set' to '128000'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'allowedtypes' for component 'tiny_recordrtc' from 'Not set' to 'both'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'librarygroup4' for component 'tiny_equation' from 'Not set' to '   \sum{a,b}   \sqrt[a]{b+c}   \int_{a}^{b}{c}   \iint_{a}^{b}{c}   \iiint_{a}^{b}{c}   \oint{a}   (a)   [a]   \lbrace{a}\rbrace   \left| \begin{matrix} a_1 & a_2 \\ a_3 & a_4 \end{matrix} \right|   \frac{a}{b+c}   \vec{a}   \binom {a} {b}   {a \brack b}   {a \brace b}   '.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'librarygroup3' for component 'tiny_equation' from 'Not set' to '   \alpha   \beta   \gamma   \delta   \epsilon   \zeta   \eta   \theta   \iota   \kappa   \lambda   \mu   \nu   \xi   \pi   \rho   \sigma   \tau   \upsilon   \phi   \chi   \psi   \omega   \Gamma   \Delta   \Theta   \Lambda   \Xi   \Pi   \Sigma   \Upsilon   \Phi   \Psi   \Omega   '.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'librarygroup2' for component 'tiny_equation' from 'Not set' to '   \leftarrow   \rightarrow   \uparrow   \downarrow   \leftrightarrow   \nearrow   \searrow   \swarrow   \nwarrow   \Leftarrow   \Rightarrow   \Uparrow   \Downarrow   \Leftrightarrow   '.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'librarygroup1' for component 'tiny_equation' from 'Not set' to '   \cdot   \times   \ast   \div   \diamond   \pm   \mp   \oplus   \ominus   \otimes   \oslash   \odot   \circ   \bullet   \asymp   \equiv   \subseteq   \supseteq   \leq   \geq   \preceq   \succeq   \sim   \simeq   \approx   \subset   \supset   \ll   \gg   \prec   \succ   \infty   \in   \ni   \forall   \exists   \neq   '.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'allowwidth' for component 'atto_table' from 'Not set' to '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'allowbackgroundcolour' for component 'atto_table' from 'Not set' to '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'allowborders' for component 'atto_table' from 'Not set' to '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'videotimelimit' for component 'atto_recordrtc' from 'Not set' to '120'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'audiotimelimit' for component 'atto_recordrtc' from 'Not set' to '120'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'videobitrate' for component 'atto_recordrtc' from 'Not set' to '2500000'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'audiobitrate' for component 'atto_recordrtc' from 'Not set' to '128000'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'allowedtypes' for component 'atto_recordrtc' from 'Not set' to 'both'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'librarygroup4' for component 'atto_equation' from 'Not set' to '   \sum{a,b}   \sqrt[a]{b+c}   \int_{a}^{b}{c}   \iint_{a}^{b}{c}   \iiint_{a}^{b}{c}   \oint{a}   (a)   [a]   \lbrace{a}\rbrace   \left| \begin{matrix} a_1 & a_2 \\ a_3 & a_4 \end{matrix} \right|   \frac{a}{b+c}   \vec{a}   \binom {a} {b}   {a \brack b}   {a \brace b}   '.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'librarygroup3' for component 'atto_equation' from 'Not set' to '   \alpha   \beta   \gamma   \delta   \epsilon   \zeta   \eta   \theta   \iota   \kappa   \lambda   \mu   \nu   \xi   \pi   \rho   \sigma   \tau   \upsilon   \phi   \chi   \psi   \omega   \Gamma   \Delta   \Theta   \Lambda   \Xi   \Pi   \Sigma   \Upsilon   \Phi   \Psi   \Omega   '.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'librarygroup2' for component 'atto_equation' from 'Not set' to '   \leftarrow   \rightarrow   \uparrow   \downarrow   \leftrightarrow   \nearrow   \searrow   \swarrow   \nwarrow   \Leftarrow   \Rightarrow   \Uparrow   \Downarrow   \Leftrightarrow   '.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'librarygroup1' for component 'atto_equation' from 'Not set' to '   \cdot   \times   \ast   \div   \diamond   \pm   \mp   \oplus   \ominus   \otimes   \oslash   \odot   \circ   \bullet   \asymp   \equiv   \subseteq   \supseteq   \leq   \geq   \preceq   \succeq   \sim   \simeq   \approx   \subset   \supset   \ll   \gg   \prec   \succ   \infty   \in   \ni   \forall   \exists   \neq   '.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'showgroups' for component 'atto_collapse' from 'Not set' to '6'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'autosavefrequency' for component 'editor_atto' from 'Not set' to '60'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'toolbar' for component 'editor_atto' from 'Not set' to 'collapse = collapse   style1 = title, bold, italic   list = unorderedlist, orderedlist, indent   links = link   files = emojipicker, image, media, recordrtc, managefiles, h5p   accessibility = accessibilitychecker, accessibilityhelper   style2 = underline, strike, subscript, superscript   align = align   insert = equation, charmap, table, clear   undo = undo   other = html'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'showstandardinstruction' for component 'qtype_multichoice' from 'Not set' to '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'answernumbering' for component 'qtype_multichoice' from 'Not set' to 'abc'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'shuffleanswers' for component 'qtype_multichoice' from 'Not set' to '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'answerhowmany' for component 'qtype_multichoice' from 'Not set' to '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'surcharge' for component 'paygw_paypal' from 'Not set' to '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'limitsize' for component 'media_videojs' from 'Not set' to '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'audiocssclass' for component 'media_videojs' from 'Not set' to 'video-js'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'videocssclass' for component 'media_videojs' from 'Not set' to 'video-js'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'youtube' for component 'media_videojs' from 'Not set' to '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'audioextensions' for component 'media_videojs' from 'Not set' to 'html_audio'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'videoextensions' for component 'media_videojs' from 'Not set' to 'html_video,media_source,.f4v,.flv'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'password' for component 'mlbackend_python' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'username' for component 'mlbackend_python' from 'Not set' to 'default'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'secure' for component 'mlbackend_python' from 'Not set' to '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'port' for component 'mlbackend_python' from 'Not set' to '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'host' for component 'mlbackend_python' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'useserver' for component 'mlbackend_python' from 'Not set' to '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'buffersize' for component 'logstore_standard' from 'Not set' to '50'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'loglifetime' for component 'logstore_standard' from 'Not set' to '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'jsonformat' for component 'logstore_standard' from 'Not set' to '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'logguests' for component 'logstore_standard' from 'Not set' to '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'loglifetime' for component 'core' from 'Not set' to '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'logguests' for component 'core' from 'Not set' to '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'loglegacy' for component 'logstore_legacy' from 'Not set' to '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'includeactions' for component 'logstore_database' from 'Not set' to 'c,r,u,d'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'includelevels' for component 'logstore_database' from 'Not set' to '1,2,0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'logguests' for component 'logstore_database' from 'Not set' to '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'jsonformat' for component 'logstore_database' from 'Not set' to '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'buffersize' for component 'logstore_database' from 'Not set' to '50'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'dbhandlesoptions' for component 'logstore_database' from 'Not set' to '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'dbcollation' for component 'logstore_database' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'dbschema' for component 'logstore_database' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'dbport' for component 'logstore_database' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
"30/10/23, 12:33:31","Admin Lms",-,System,System,"Config log created","The user with id '2' changed the config setting 'dbsocket' for component 'logstore_database' from 'Not set' to ''.",web,0:0:0:0:0:0:0:1
